Metabolite,baseMean,FC,log2FC,Test,Stat,pvalue,adj_pvalue,Significant,Direction,abs_log2FC,neg_log10_adj_pval,Colour
NEG.746.2917@5.5799274,18612.067567567567,2.8534422072570123,1.5127033434075468,Mann-Whitney U,2421.0,1.984393508959672e-07,3.5797673003213092e-06,True,Up,1.5127033434075468,5.446145203375956,red
POS.250.1312@2.0189984,42565.149253731346,39.16254749224092,5.291402709034382,Mann-Whitney U,2412.0,2.6369206425554955e-07,4.490158327790759e-06,True,Up,5.291402709034382,5.347738345038202,red
NEG.161.8492@7.435804,27243.43023255814,2.552292455236718,1.3517936502413561,Mann-Whitney U,2405.0,3.2836354618052793e-07,5.463729508136273e-06,True,Up,1.3517936502413561,5.262510809332312,red
NEG.Glycocholic acid_FE,843550.981981982,5.126267954064502,2.3579088914068125,Mann-Whitney U,2401.0,3.719212307283634e-07,6.023470954551805e-06,True,Up,2.3579088914068125,5.220153179504664,red
NEG.438.1498@3.8625836,84014.29545454546,3.300436738077686,1.7226569451282439,Mann-Whitney U,2396.0,4.3425187093907564e-07,6.7914756124549e-06,True,Up,1.7226569451282439,5.168035854479229,red
POS.387.1884@3.8689954,16055.67441860465,3.1352730981563255,1.6485911145411025,Mann-Whitney U,2395.0,4.478740961294425e-07,6.944907260832717e-06,True,Up,1.6485911145411025,5.158333549260782,red
POS.705.5871@7.3889933,14873.827956989247,0.20869439112369423,-2.2605362677809384,Mann-Whitney U,690.0,5.554513918842669e-07,8.064003474208242e-06,True,Down,2.2605362677809384,5.093449293791761,blue
POS.568.3723@9.026,31006.909090909092,0.22404991496176688,-2.158107915972309,Mann-Whitney U,690.0,5.554513918842669e-07,8.064003474208242e-06,True,Down,2.158107915972309,5.093449293791761,blue
NEG.896.6389@7.2679253,41627.35514018692,2.1438959218036753,1.1002348700016875,Mann-Whitney U,2387.0,5.727212347258912e-07,8.248996756289121e-06,True,Up,1.1002348700016875,5.083598867171492,red
NEG.370.1626@3.8614748,467435.4175824176,3.4815726543659022,1.7997391302539587,Mann-Whitney U,2379.0,7.307936117381944e-07,9.863007115459187e-06,True,Up,1.7997391302539587,5.005990653563647,red
NEG.358.0696@4.2430654,32083.44578313253,3.912716243213579,1.9681704873528154,Mann-Whitney U,2377.0,7.764463144588631e-07,1.0177591258590278e-05,True,Up,1.9681704873528154,4.992354994777647,red
POS.144.1257@0.9160003,5342.654545454546,3.7950793118840536,1.924130036277411,Mann-Whitney U,2368.0,1.0180981337819943e-06,1.2576100337293517e-05,True,Up,1.924130036277411,4.900454006311103,red
POS.454.1141@3.8680043,16245.5,3.0879522067560647,1.6266504237168742,Mann-Whitney U,2365.0,1.1137413124192828e-06,1.3528244474852886e-05,True,Up,1.6266504237168742,4.868758557012901,red
NEG.309.1186@3.1665814,36956.8064516129,0.48642820206440024,-1.0397012193152422,Mann-Whitney U,715.0,1.1822028802368143e-06,1.4124417362567054e-05,True,Down,1.0397012193152422,4.850029457946819,blue
POS.501.4026@7.849,57611.010309278354,0.10850085968201545,-3.2042216213045482,Mann-Whitney U,718.0,1.2925401633971143e-06,1.524277137676079e-05,True,Down,3.2042216213045482,4.816936064216124,blue
